#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	S    	P    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
45        	4         	ok              	6.9240000000e-02	1.1771000000e+03	7.8313906096e+17	4.2604941806e+17	2.3680855016e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
46        	4         	ok              	5.5960000000e-02	1.1573000000e+03	6.4376431178e+17	3.5022571423e+17	2.3680852723e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
47        	4         	ok              	4.5230000000e-02	1.1402000000e+03	5.2812967682e+17	2.8731733402e+17	2.3680845998e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
48        	4         	ok              	3.6560000000e-02	1.1273000000e+03	4.3177894229e+17	2.3489996767e+17	2.3680832746e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
49        	4         	ok              	2.9550000000e-02	1.1167000000e+03	3.5230230189e+17	1.9166254296e+17	2.3680818223e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
50        	4         	ok              	2.3890000000e-02	1.1070000000e+03	2.8731798073e+17	1.5630929555e+17	2.3680805407e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
51        	4         	ok              	1.9310000000e-02	1.0969000000e+03	2.3437394698e+17	1.2750626205e+17	2.3680795585e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
52        	4         	ok              	1.5610000000e-02	1.0865000000e+03	1.9127892799e+17	1.0406134847e+17	2.3680787962e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
53        	4         	ok              	1.2610000000e-02	1.0764000000e+03	1.5596790405e+17	8.4851138604e+16	2.3680781515e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
54        	4         	ok              	1.0200000000e-02	1.0669000000e+03	1.2728293877e+17	6.9245687834e+16	2.3680775998e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
55        	4         	ok              	8.2410000000e-03	1.0592000000e+03	1.0358469225e+17	5.6353152848e+16	2.3680770585e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
56        	4         	ok              	6.6610000000e-03	1.0530000000e+03	8.4217939658e+16	4.5817072826e+16	2.3680765783e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
57        	4         	ok              	5.3840000000e-03	1.0481000000e+03	6.8390504315e+16	3.7206481935e+16	2.3680761750e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
58        	4         	ok              	4.3520000000e-03	1.0443000000e+03	5.5482628218e+16	3.0184214998e+16	2.3680758520e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
59        	4         	ok              	3.5170000000e-03	1.0417000000e+03	4.4949314635e+16	2.4453778894e+16	2.3680755972e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
60        	4         	ok              	2.8430000000e-03	1.0396000000e+03	3.6408595391e+16	1.9807372352e+16	2.3680754100e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
61        	4         	ok              	2.2980000000e-03	1.0377000000e+03	2.9482989554e+16	1.6039635124e+16	2.3680752749e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
62        	4         	ok              	1.8570000000e-03	1.0350000000e+03	2.3887178140e+16	1.2995345517e+16	2.3680751846e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
63        	4         	ok              	1.5010000000e-03	1.0325000000e+03	1.9354587243e+16	1.0529479632e+16	2.3680751173e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
64        	4         	ok              	1.2130000000e-03	1.0301000000e+03	1.5677423362e+16	8.5289916776e+15	2.3680750666e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
65        	4         	ok              	9.8080000000e-04	1.0274000000e+03	1.2709666704e+16	6.9144425527e+15	2.3680750301e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
66        	4         	ok              	7.9280000000e-04	1.0248000000e+03	1.0299538978e+16	5.6032603458e+15	2.3680750012e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
67        	4         	ok              	6.4080000000e-04	1.0224000000e+03	8.3443962376e+15	4.5396036779e+15	2.3680749771e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
68        	4         	ok              	5.1790000000e-04	1.0197000000e+03	6.7618688737e+15	3.6786610048e+15	2.3680749587e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
69        	4         	ok              	4.1860000000e-04	1.0168000000e+03	5.4809638384e+15	2.9818099760e+15	2.3680749442e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
70        	4         	ok              	3.3840000000e-04	1.0130000000e+03	4.4474815787e+15	2.4195644001e+15	2.3680749367e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
71        	4         	ok              	2.7350000000e-04	1.0076000000e+03	3.6137859181e+15	1.9660087608e+15	2.3680749392e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
72        	4         	ok              	2.2110000000e-04	1.0020000000e+03	2.9377461870e+15	1.5982227118e+15	2.3680749437e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
73        	4         	ok              	1.7870000000e-04	9.9500000000e+02	2.3910833986e+15	1.3008216269e+15	2.3680749555e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
74        	4         	ok              	1.4440000000e-04	9.8790000000e+02	1.9460207304e+15	1.0586940803e+15	2.3680749675e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
75        	4         	ok              	1.1670000000e-04	9.8130000000e+02	1.5832967253e+15	8.6136125764e+14	2.3680749770e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
76        	4         	ok              	9.4360000000e-05	9.7290000000e+02	1.2912578897e+15	7.0248330236e+14	2.3680749932e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
77        	4         	ok              	7.6270000000e-05	9.6450000000e+02	1.0527973337e+15	5.7275355220e+14	2.3680750079e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
78        	4         	ok              	6.1650000000e-05	9.5590000000e+02	8.5864547162e+14	4.6712907158e+14	2.3680750218e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
79        	4         	ok              	4.9830000000e-05	9.4600000000e+02	7.0128252692e+14	3.8151887404e+14	2.3680750376e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
80        	4         	ok              	4.0280000000e-05	9.3670000000e+02	5.7250885900e+14	3.1146210799e+14	2.3680750499e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
81        	4         	ok              	3.2550000000e-05	9.2710000000e+02	4.6743118531e+14	2.5429667914e+14	2.3680750611e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
82        	4         	ok              	2.6310000000e-05	9.1770000000e+02	3.8169229205e+14	2.0765213146e+14	2.3680750705e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
83        	4         	ok              	2.1270000000e-05	9.0930000000e+02	3.1142507197e+14	1.6942464166e+14	2.3680750771e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
84        	4         	ok              	1.7190000000e-05	9.0060000000e+02	2.5411904226e+14	1.3824843096e+14	2.3680750833e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
85        	4         	ok              	1.3890000000e-05	8.9280000000e+02	2.0712920619e+14	1.1268454128e+14	2.3680750878e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
86        	4         	ok              	1.1230000000e-05	8.8590000000e+02	1.6876731140e+14	9.1814512266e+13	2.3680750909e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
