#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	S    	P    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
103       	4         	ok              	3.0130000000e-07	8.8680000000e+02	4.5234177198e+12	2.4608759626e+12	2.3680749303e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
104       	4         	ok              	2.4350000000e-07	8.9480000000e+02	3.6229823843e+12	1.9710119940e+12	2.3680748460e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
105       	4         	ok              	1.9680000000e-07	9.0650000000e+02	2.8903503407e+12	1.5724381160e+12	2.3680746771e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
106       	4         	ok              	1.5910000000e-07	9.2220000000e+02	2.2968794242e+12	1.2495721542e+12	2.3680743184e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
107       	4         	ok              	1.2860000000e-07	9.4160000000e+02	1.8183082492e+12	9.8921523350e+11	2.3680735263e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
108       	4         	ok              	1.0390000000e-07	9.6550000000e+02	1.4327021338e+12	7.7943435891e+11	2.3680716070e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
109       	4         	ok              	8.4020000000e-08	1.0038000000e+03	1.1143632284e+12	6.0625001562e+11	2.3680642390e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
110       	4         	ok              	6.7910000000e-08	1.0547000000e+03	8.5721621471e+11	4.6635975062e+11	2.3680331912e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
111       	4         	ok              	5.4890000000e-08	1.1214000000e+03	6.5161220188e+11	3.5452670634e+11	2.3678747235e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
112       	4         	ok              	4.4370000000e-08	1.2167000000e+03	4.8522451828e+11	2.6413271630e+11	2.3666771040e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
113       	4         	ok              	3.5860000000e-08	1.3890000000e+03	3.4028187171e+11	1.8699255531e+11	2.3444067649e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
114       	4         	ok              	2.8990000000e-08	1.6897000000e+03	1.7252725317e+11	1.2426673513e+11	1.7886332053e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
115       	5         	ok              	2.3430000000e-08	2.3395000000e+03	7.2570174274e+10	7.2537989788e+10	1.2888759481e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
116       	3         	ok              	1.8940000000e-08	3.4842000000e+03	3.9372618875e+10	3.9372516638e+10	1.2883076839e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
117       	1         	ok              	1.5310000000e-08	4.7342000000e+03	2.3423126659e+10	2.3423126644e+10	1.2883043394e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
118       	1         	ok              	1.2370000000e-08	5.7446000000e+03	1.5596465278e+10	1.5596465277e+10	1.2883043387e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
119       	1         	ok              	1.0000000000e-08	6.0000000000e+03	1.2071605286e+10	1.2071605286e+10	1.2883043386e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
